Kid Mask Data Summary,,,,,,,,,,,,,,,,
"See Companion Video To This Data --> https://youtu.be/A88AGnN-nwI
",,,,,,,,,,,,,,,,
"Also please head over there and leave a comment if you find a mask that works for your child
and help crowd source kids mask sizing.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"*- These are size ESTIMATES only, recommend buying a variety of options in similar sizes to verify. Very limited sample size on my end.
Age estimate will change with no posted notice as I get more data and fit more kids.",,,,,,,,,,,,,,,,
"**-My test aerosol, on my adult face. Values are not guaranteed, just means the mask has legit filter media",,,,,,,,,,,,,,,,
"***- Pressure drop is rough measurement and smaller masks are going to have higher pressure drop just because less filter media
Compare among rough size ranges, and note this measurement is coarse, values close together may actually be the same",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MaskNerd Testing Data by Aaron Collins is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License. Based on a work at https://drive.google.com/drive/folders/1eE2BERAvRzs28kG87ft3a27FS9-gHvdC.,,,,,,,,,,,,,,,,
Mask,Age Range*,Certification/Style,"Adj.
 Earloops","Filtration
 Effeciency**","Pressure Drop
[Pa]
***","Width
[mm]","Height
[mm]","A
[mm]","B
[mm]","C
[mm]","D
[mm]","Sample Image
 on 5.5yr old",Source 1,Source 2,Source 3,
"CocoMong XXS Toddler Mask
[Note this is almost identical in size to U&I Bio, but has printing]",2-5,KF80/Boat,Yes,98.3%,134,148,55,41,55,38,119,,https://kollecteusa.com/collections/cocofarm-megaxxl,,,
The Bio U&I Toddler Mask,2-5,KF94/Boat,Yes,99.3%,121,150,58,40,58,39,118,https://drive.google.com/drive/folders/1VwJybRIIpkaiq25PeoVMJPyHuIkf_r85?usp=sharing,https://kollecteusa.com/products/kf94-toddler-kids-mask-youandkids,,,
HappyLife Gooday Kids Mask - XSmall,3.5-6,KF94/Boat,No,98.5%,123,158,67,43,67,44,128,https://drive.google.com/drive/folders/1GTfOskwb4Us_VcWRjczpWHm6w9UF4mtt?usp=sharing,https://kollecteusa.com/collections/happylife/products/happy-lifegood-day-kf94-premium-face-mask-kidswhite-2?variant=40698214187157,https://www.everydayemall.com/collections/ppe/products/cute-cartoon-design-kf94-mask-for-kids-made-in-korea-white-kf94-1pcs,,
Wellbefore Kids KN95 Petite X-Small,2-4,KN95/Bifold,Yes,97.4%,299,67,111,-,-,-,-,,https://wellbefore.com/collections/kids/products/kids-kn95-fda-5-layers-individually-wrapped?variant=19968676626561,,,
SaveWo 3D Mask - Kids Small,3.5-8,KF94-KN95/Boat,No,99.1%,80,155,68,40,63,40,124,,http://family-masks.com,https://mikoplace.com/savewo-3d-mask-30pcs-kids-size-s-target-aged-2-6/,https://taiwan-masks.com/collections/savewo,
