unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
3M 1860s,,,,,,,Cup,Headstrap,Green,https://www.amazon.com/3M-Health-Care-1860S-Particulate/dp/B01AWCDZ3O,,,https://m.media-amazon.com/images/I/61J5YrH5rTL._SL1500_.jpg,,,,,3m 1860s,,,
Canada Masq Q100 XS,,,,,,N95,Boat,Earloop,White,https://canadastrong.ca/products/canada-masq-q100-xs-kids-healthcare-csa-certified-earloop-respirator-made-in-canada,,,https://canadastrong.ca/cdn/shop/files/CanadaMasqQ100XSKidsearlooprespiratormaskCSACertified2.png?v=1691120714&width=1000,,,,,canada masq q100 xs,,,
Champak PC520 Medium,,,,,,,Bifold,Headstrap,White,https://www.planethalohealth.com/products/champak-flat-fold-pc520m-pc520l-adjustable-n95-masks-m-l-pack-of-15,,,https://www.storage.purcellabs.com/source/1/KTIOCdmwtNe1lirKuewqwFLVJ3tDI64o.jpg,,,,,champak pc520 medium,,,
Halyard Fluidshield 46827 Small,,,,,,N95,Duckbill,Headstrap,White,https://www.amazon.com/46727/dp/B01EI9A75Q,,,https://m.media-amazon.com/images/I/512xGR0w6zL.jpg,,,,,halyard fluidshield 46827 small,,,
Q100 Small,,,,,,N95,Boat,Earloop,White,https://www.canadamasq.com/product-page/q100-csa-certified-respirator-white-pack-of-10,,,"https://static.wixstatic.com/media/ea1586_f2d6ad262a144efc98dce658e91995e5~mv2.png/v1/fill/w_530,h_530,al_c,usm_0.66_1.00_0.01/ea1586_f2d6ad262a144efc98dce658e91995e5~mv2.png",,,,,q100 small,,,
Savewo 3D Meow 2-6 years,2-6,,,,,KF94,Bifold,Earloop,Multicolored,https://www.family-masks.com/products/savewo-3dmask-kids-small-2-6-years-old-white?variant=40492162121865,,,https://www.family-masks.com/cdn/shop/products/3DMask-Kids-Small-White-Model2_1024x1024@2x.jpg?v=1659191681,,,,,savewo 3d meow 2-6 years,,,
Savewo 3D Meow 7-13 years,7-13,,,,,KF94,Bifold,Earloop,Multicolored,https://www.family-masks.com/products/3dmask-kids?variant=40492158517385,,,https://www.family-masks.com/cdn/shop/products/3DMask-Kids-Large-White-Model1_1024x1024@2x.jpg?v=1659191665,,,,,savewo 3d meow 7-13 years,,,
Shawmut Protex SR9520S - Small,,,,,,N95,Cup,Headstrap,White,https://shop.shawmutcorp.com/products/protex%E2%84%A2-n95-particulate-respirator-model-sr9520s-made-in-usa-size-s,,,https://shop.shawmutcorp.com/cdn/shop/products/Protex_N95Respirator_SR9520Swith20pack_USA_ADC_SHOPIFY_1024x1024@2x.png?v=1670515183,,,,,shawmut protex sr9520s - small,,,
Trident S,,,,,,,Boat,Headstrap,White,https://hlpmedical.net/en-us/products/trident%C2%AE-surgical-p2-respirator-level-3-hospital-grade-face-masks-individually-packaged-box-20,,,https://hlpmedical.net/cdn/shop/products/unnamed_5964f7aa-83d1-42e8-9761-a1a638519f40.png?v=1688742729&width=990,,,,,trident s,,,
Trident XS,,,,,,,Boat,Headstrap,White,https://hlpmedical.net/en-us/products/trident%C2%AE-surgical-p2-respirator-level-3-hospital-grade-face-masks-individually-packaged-box-20,,,https://hlpmedical.net/cdn/shop/products/unnamed_5964f7aa-83d1-42e8-9761-a1a638519f40.png?v=1688742729&width=990,,,,,trident xs,,,
Vogmask Organic Medium,,,,,,,Cotton + High Filtration Efficiency Material,Earloop,Multicolored,https://www.vogmask.com/products/natural-vm,,,https://www.vogmask.com/cdn/shop/files/organicnaturalVMcopy.jpg?v=1701808417,,,,,vogmask organic medium,,,
Vogmask Small,,,,,,,Cotton + High Filtration Efficiency Material,Earloop,Multicolored,https://www.vogmask.com/products/natural-vm,,,https://www.vogmask.com/cdn/shop/files/organicnaturalVMcopy.jpg?v=1701808417,,,,,vogmask small,,,
"Zimi 7711 w/ Earloops, Exhalation Valve",,,,,,KN95,Bifold & Gasket,Earloop,White,https://ppeo.com/goods/zimi-air-particulate-respirator-zm7711-kn95-masks/,,,https://i0.wp.com/ppeo.com/wp-content/uploads/2024/04/ZM7711-mask-with-valve.jpg?fit=600%2C600&ssl=1,,,,,"zimi 7711 w/ earloops, exhalation valve",,,
"Zimi 7711 w/ Earloops, no Exhalation Valve",,,,,,KN95,Bifold & Gasket,Earloop,White,https://ppeo.com/goods/zimi-air-particulate-respirator-zm7711-kn95-masks/,,,https://i0.wp.com/ppeo.com/wp-content/uploads/2024/04/ZiMi-Air-Particulate-Respirator-ZM7711-KN95-Masks-jpg.webp?w=600&ssl=1,,,,,"zimi 7711 w/ earloops, no exhalation valve",,,
"Zimi 7711 w/ Headband, Exhalation Valve",,,,,,KN95,Bifold & Gasket,Headstrap,White,https://ppeo.com/goods/zimi-air-particulate-respirator-zm7711-kn95-masks/,,,https://i0.wp.com/ppeo.com/wp-content/uploads/2024/04/ZM7711-mask-with-valve.jpg?fit=600%2C600&ssl=1,,,,,"zimi 7711 w/ headband, exhalation valve",,,
"Zimi 7711 w/ Headband, no Exhalation Valve",,,,,,KN95,Bifold & Gasket,Headstrap,White,https://ppeo.com/goods/zimi-air-particulate-respirator-zm7711-kn95-masks/,,,https://i0.wp.com/ppeo.com/wp-content/uploads/2024/04/ZiMi-Air-Particulate-Respirator-ZM7711-KN95-Masks-jpg.webp?w=600&ssl=1,,,,,"zimi 7711 w/ headband, no exhalation valve",,,
3M 9205+ Aura - User Submission,,100.0,242.44,,,N95,Boat,Headstrap,White,https://www.amazon.com/3M-Aura-Particulate-Respirator-White/dp/B095DVPTCT/ref=sr_1_1,,,//www.armbrustusa.com/cdn/shop/articles/221-_Aura3m9205-N95_.HEIC_45147ac8-af13-4207-ba4a-99db77557e98.jpg?v=1676401244,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),3m 9205+ aura - user submission,,,
3M Aura Particulate Respirator 9205+ N95,,99.86,123.0,,,N95,Boat,Headstrap,White,https://www.amazon.com/3M-Aura-Particulate-Respirator-White/dp/B095DVPTCT/ref=sr_1_2?dchild=1&keywords=3m%2Baura%2B9205%2B&qid=1634216583&sr=8-2&th=1,,,//www.armbrustusa.com/cdn/shop/articles/221-_Aura3m9205-N95_.HEIC_cd342a40-d724-4204-b027-b01af36b7cfb.jpg?v=1676403585,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),3m aura particulate respirator 9205+ n95,,,
4CAir Kids Mask,8-12,98.8,102.0,75.0,132.0,KN95,Bifold,,,https://4cair.com/product/4cair-nano-mask-for-kids/,,,https://4cair.com/wp-content/uploads/2021/03/BreSafe-Nano-Mask-Kids.png,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",4cair kids mask,,,
ACI Surgical N95 Respirator,,99.42,133.0,,,N95,Duckbill,Headstrap,Blue,https://www.armbrustusa.com/products/aci-n95-surgical-respirator-duckbill,,,//www.armbrustusa.com/cdn/shop/articles/ACI.png?v=1676401392,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),aci surgical n95 respirator,,,
Aegle N95 Foldable Respirator,,99.64,146.98,,,N95,Bifold,Headstrap,White,https://www.armbrustusa.com/products/aegle-sts-f100-n95-foldable?variant=39533467009157,,,//www.armbrustusa.com/cdn/shop/articles/Aegle_Box.jpg?v=1641829787,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),aegle n95 foldable respirator,,,
"AER Standard Fit, Small",8-12,98.2,154.0,85.0,126.0,KF94,Bifold,,,https://kollecteusa.com/collections/aer,,,https://flexmonusa.com/cdn/shop/products/Aer_Black_shopify_1-1__M_size_fb76164c-cdb7-4941-b91b-6b468540c21a_1024x1024@2x.jpg?v=1623788479,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.","aer standard fit, small",,,
Ahotop Kid Sized KN95 Face Mask,,99.12,177.0,,,KN95,Bifold,Earloop,Multicolored,https://www.amazon.com/Colored-Adjustable-Individually-Protective-Children/dp/B08XTRR6YW/ref=sxin_13_pa_sp_search_thematic_sspa?crid=302OFE7X4V022&cv_ct_cx=kids+kn95+mask&dchild=1&keywords=kids+kn95+mask&pd_rd_i=B08XTRR6YW&pd_rd_r=c729f313-e7d5-49c7-aebf-85e937a994a9&pd_rd_w=JNSIE&pd_rd_wg=VktSn&pf_rd_p=f21da57e-06e4-46a5-9148-e2dea2e78384&pf_rd_r=TQ6AGVV4DEXHWDSGZS6Y&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=1-2-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons&psc=1&smid=A23LKTYBCEUXSV&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFETE85WlRRQkExWFAmZW5jcnlwdGVkSWQ9QTA5Nzc1NTBGNDk1Sk8xNVFLNFImZW5jcnlwdGVkQWRJZD1BMDI3Njg0MzI5Q0FYR1lOUU9KOFomd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWMmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/601_ahotop_up.jpg?v=1675894600,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),ahotop kid sized kn95 face mask,,,
AKGK KN95 Face Mask,,98.66,221.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/Breathable-Protection-Masks-5-Ply-Safety/dp/B09BZF2X29/ref=sr_1_32?crid=1JA0V6VIU1FIC&dchild=1&keywords=kn95+face+masks&qid=1633725894&sprefix=kn95+face%2Caps%2C233&sr=8-32,,,//www.armbrustusa.com/cdn/shop/articles/KN95_-_694_AKGK_up.jpg?v=1676403624,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),akgk kn95 face mask,,,
All Keeper KF94 - Yellow Dust & Epidemics Prevention Mask,,98.98,218.54,,,KF94,Boat,Earloop,Black,https://www.amazon.com/All-Keeper-Safety-4-Layers-Protection/dp/B08LYV2HMG,,,//www.armbrustusa.com/cdn/shop/articles/648_all_keeper_mfds_up_7c00c288-93a8-4415-8956-a3ce733ee97d.jpg?v=1676402252,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),all keeper kf94 - yellow dust & epidemics prevention mask,,,
All Keeper KF94 Face Safety Mask,,99.8,258.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/All-Keeper-Safety-4-Layers-Protection/dp/B08LYV2HMG/ref=sr_1_32?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-32,,,//www.armbrustusa.com/cdn/shop/articles/648_all_keeper_mfds_up.jpg?v=1641689153,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),all keeper kf94 face safety mask,,,
AnanBros Barbeador KN95 Face Mask,,99.39,164.0,,,KN95,Bifold,Earloop,Multicolored,https://www.amazon.com/Approved-Individually-Breathable-Mascarillas-AnanBros/dp/B08P84N7BJ/ref=sr_1_43?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-43,,,//www.armbrustusa.com/cdn/shop/articles/586_ananbros_up.jpg?v=1676396575,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),ananbros barbeador kn95 face mask,,,
