start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-03-26 21:34:45.239273,4,"blower, 1 QT3 HEPA, NCAF",3/10/2023 9:46:33,False,blower,False,2.0,1 QT3 HEPA,,../air_cleaner_data/2023-03-10_09-24-21-SPS3x_C508CCF167AD3911.edf
2023-03-26 21:39:29.013405,4,"blower, 1 QT3 HEPA, NCAF",2023-03-26 21:39:36.282274,False,blower,False,2.0,1 QT3 HEPA,,../air_cleaner_data/2023-03-10_09-24-21-SPS3x_C508CCF167AD3911.edf
2023-06-12 13:01:22.083800,2,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:02:28.077759,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:03:29.802904,4,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:04:10.674973,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:04:55.906925,6,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:05:33.750074,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:06:33.252090,8,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:07:15.450926,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:08:23.883684,10,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:08:56.154280,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:09:45.731705,12,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:10:26.333287,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:11:34.925320,14,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:12:05.882894,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:13:03.965974,16,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:13:37.847222,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:14:33.425910,18,"2 QT3, NF-F12 iPPC-3000 full speed",2023-06-12 13:15:03.004830,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:17:48.460449,18,"2 QT3, NF-F12 iPPC-3000 2/3 speed",2023-06-12 13:18:21.972339,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
2023-06-12 13:19:32.579285,16,"2 QT3, NF-F12 iPPC-3000 2/3 speed",2023-06-12 13:20:12.150471,,NF-F12 iPPC-3000 Industrial,False,,2 QT3 HEPA,,../air_cleaner_data/2023-06-12_08:46:02.198914.csv
