Time(mm/dd/yyyy),Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa)
10/12/2022 3:22:04 PM,"505","77.7","37","1007"
10/12/2022 3:23:04 PM,"485","77.6","37","1007"
10/12/2022 3:24:04 PM,"485","77.6","37","1007"
10/12/2022 3:25:04 PM,"506","77.6","37","1007"
10/12/2022 3:26:04 PM,"516","77.6","37","1007"
10/12/2022 3:27:04 PM,"492","77.6","37","1007"
10/12/2022 3:28:04 PM,"545","77.6","37","1007"
10/12/2022 3:29:04 PM,"540","77.6","38","1007"
10/12/2022 3:30:04 PM,"559","77.6","38","1007"
10/12/2022 3:31:04 PM,"543","77.6","38","1007"
10/12/2022 3:32:04 PM,"544","77.6","38","1007"
10/12/2022 3:33:04 PM,"543","77.6","37","1007"
10/12/2022 3:34:04 PM,"519","77.6","38","1007"
10/12/2022 3:35:04 PM,"511","77.7","38","1007"
10/12/2022 3:36:04 PM,"507","77.7","38","1007"
10/12/2022 3:37:04 PM,"500","77.8","38","1007"
10/12/2022 3:38:04 PM,"503","77.9","38","1007"
10/12/2022 3:39:04 PM,"496","77.9","38","1007"
10/12/2022 3:40:04 PM,"499","78.0","38","1007"
10/12/2022 3:41:04 PM,"502","78.0","38","1007"
10/12/2022 3:42:04 PM,"518","77.9","38","1007"
10/12/2022 3:43:04 PM,"502","78.0","39","1007"
10/12/2022 3:44:04 PM,"495","78.0","39","1007"
10/12/2022 3:45:04 PM,"510","78.0","39","1007"
10/12/2022 3:46:04 PM,"492","78.0","39","1007"
10/12/2022 3:47:04 PM,"489","78.0","39","1007"
10/12/2022 3:48:04 PM,"485","77.9","39","1007"
10/12/2022 3:49:04 PM,"487","77.9","39","1007"
10/12/2022 3:50:04 PM,"468","77.9","39","1007"
10/12/2022 3:51:04 PM,"473","77.9","39","1007"
10/12/2022 3:52:04 PM,"454","77.8","39","1007"
10/12/2022 3:53:04 PM,"460","77.7","39","1007"
10/12/2022 3:54:04 PM,"470","77.7","39","1007"
10/12/2022 3:55:04 PM,"468","77.6","39","1007"
10/12/2022 3:56:04 PM,"476","77.6","39","1007"
10/12/2022 3:57:04 PM,"465","77.7","39","1007"
10/12/2022 3:58:04 PM,"481","77.6","39","1007"
10/12/2022 3:59:04 PM,"483","77.6","39","1007"
10/12/2022 4:00:04 PM,"493","77.6","39","1007"
10/12/2022 4:01:04 PM,"478","77.6","41","1007"
10/12/2022 4:02:04 PM,"478","77.8","41","1007"
10/12/2022 4:03:04 PM,"482","77.8","40","1007"
10/12/2022 4:04:04 PM,"489","77.8","41","1007"
10/12/2022 4:05:04 PM,"473","77.9","42","1007"
10/12/2022 4:06:04 PM,"488","78.0","42","1007"
10/12/2022 4:07:04 PM,"493","78.1","41","1007"
10/12/2022 4:08:04 PM,"555","78.1","40","1007"
10/12/2022 4:09:04 PM,"539","78.0","39","1007"
10/12/2022 4:10:04 PM,"517","77.9","39","1007"
10/12/2022 4:11:04 PM,"537","77.8","38","1007"
10/12/2022 4:12:04 PM,"523","77.8","39","1007"
10/12/2022 4:13:04 PM,"502","77.8","38","1007"
10/12/2022 4:14:04 PM,"462","77.8","38","1007"
10/12/2022 4:15:04 PM,"439","77.9","38","1007"
10/12/2022 4:16:04 PM,"426","77.8","37","1007"
10/12/2022 4:17:04 PM,"429","77.9","37","1007"
10/12/2022 4:18:04 PM,"416","77.9","37","1007"
10/12/2022 4:19:03 PM,"422","77.8","37","1007"
10/12/2022 4:20:03 PM,"432","77.8","36","1007"
10/12/2022 4:21:03 PM,"449","77.8","37","1007"
10/12/2022 4:22:03 PM,"421","77.6","37","1007"
10/12/2022 4:23:03 PM,"424","77.6","37","1007"
10/12/2022 4:24:03 PM,"410","77.6","36","1007"
10/12/2022 4:25:03 PM,"418","77.5","36","1007"
10/12/2022 4:26:03 PM,"416","77.5","36","1007"
10/12/2022 4:27:03 PM,"419","77.5","35","1007"
10/12/2022 4:28:03 PM,"423","77.5","36","1007"
10/12/2022 4:29:03 PM,"416","77.4","36","1007"
10/12/2022 4:30:03 PM,"407","77.3","36","1007"
10/12/2022 4:31:03 PM,"418","77.3","36","1007"
10/12/2022 4:32:03 PM,"413","77.2","35","1007"
10/12/2022 4:33:03 PM,"413","77.2","36","1007"
10/12/2022 4:34:03 PM,"405","77.2","36","1007"
10/12/2022 4:35:03 PM,"416","77.1","36","1007"
10/12/2022 4:36:03 PM,"407","77.1","35","1007"
10/12/2022 4:37:03 PM,"416","77.0","36","1007"
10/12/2022 4:38:03 PM,"407","77.1","35","1007"
10/12/2022 4:39:03 PM,"415","77.1","36","1007"
10/12/2022 4:40:03 PM,"417","77.0","35","1007"
10/12/2022 4:41:03 PM,"450","77.0","36","1007"
10/12/2022 4:42:03 PM,"528","77.0","36","1007"
10/12/2022 4:43:03 PM,"513","77.0","36","1007"
10/12/2022 4:44:03 PM,"512","77.0","36","1007"
10/12/2022 4:45:03 PM,"442","77.0","36","1007"
10/12/2022 4:46:03 PM,"508","76.9","36","1007"
10/12/2022 4:47:03 PM,"419","77.0","36","1007"
10/12/2022 4:48:03 PM,"514","76.9","36","1007"
10/12/2022 4:49:03 PM,"454","76.9","36","1007"
10/12/2022 4:50:03 PM,"500","76.8","36","1007"
10/12/2022 4:51:03 PM,"547","76.9","37","1007"
10/12/2022 4:52:03 PM,"447","76.9","36","1007"
10/12/2022 4:53:03 PM,"538","76.9","37","1007"
10/12/2022 4:54:03 PM,"526","76.9","37","1006"
10/12/2022 4:55:03 PM,"581","77.0","38","1007"
10/12/2022 4:56:03 PM,"587","77.2","39","1007"
10/12/2022 4:57:03 PM,"576","77.4","39","1007"
10/12/2022 4:58:03 PM,"547","77.4","38","1007"
10/12/2022 4:59:03 PM,"586","77.5","38","1007"
10/12/2022 5:00:03 PM,"613","77.6","39","1007"
10/12/2022 5:01:03 PM,"536","77.7","39","1007"
10/12/2022 5:02:03 PM,"580","77.7","38","1007"
10/12/2022 5:03:03 PM,"622","77.6","38","1006"
10/12/2022 5:04:03 PM,"562","77.6","38","1007"
10/12/2022 5:05:03 PM,"533","77.7","38","1006"
10/12/2022 5:06:03 PM,"518","77.7","38","1008"
10/12/2022 5:07:03 PM,"502","77.7","38","1007"
10/12/2022 5:08:03 PM,"491","77.7","38","1006"
10/12/2022 5:09:03 PM,"493","77.7","38","1007"
10/12/2022 5:10:03 PM,"488","77.7","38","1006"
10/12/2022 5:11:03 PM,"503","77.8","38","1008"
10/12/2022 5:12:03 PM,"526","77.8","38","1010"
10/12/2022 5:13:03 PM,"557","77.9","37","1010"
10/12/2022 5:14:03 PM,"577","78.0","38","1010"
10/12/2022 5:15:03 PM,"611","78.0","38","1011"
10/12/2022 5:16:03 PM,"608","78.1","37","1011"
10/12/2022 5:17:03 PM,"610","78.2","38","1011"
10/12/2022 5:18:03 PM,"585","78.3","38","1012"
10/12/2022 5:19:03 PM,"576","78.3","38","1012"
10/12/2022 5:20:03 PM,"560","78.3","37","1006"
10/12/2022 5:21:03 PM,"555","78.4","37","1012"
10/12/2022 5:22:03 PM,"542","78.5","37","1008"
10/12/2022 5:23:03 PM,"556","78.5","37","1006"
10/12/2022 5:24:03 PM,"546","78.5","37","1005"
10/12/2022 5:25:03 PM,"547","78.6","37","1009"
10/12/2022 5:26:03 PM,"575","78.6","37","1013"
10/12/2022 5:27:03 PM,"593","78.7","37","1012"
10/12/2022 5:28:03 PM,"597","78.8","37","1011"
10/12/2022 5:29:03 PM,"632","78.8","37","1015"
10/12/2022 5:30:03 PM,"656","79.0","37","1012"
10/12/2022 5:31:03 PM,"646","79.1","37","1013"
10/12/2022 5:32:03 PM,"635","79.1","37","1013"
10/12/2022 5:33:03 PM,"647","79.2","37","1015"
10/12/2022 5:34:03 PM,"640","79.2","37","1013"
10/12/2022 5:35:03 PM,"633","79.3","37","1013"
10/12/2022 5:36:03 PM,"645","79.3","37","1014"
10/12/2022 5:37:03 PM,"680","79.5","37","1013"
10/12/2022 5:38:03 PM,"665","79.5","37","1012"
10/12/2022 5:39:03 PM,"681","79.6","37","1010"
10/12/2022 5:40:03 PM,"693","79.7","36","1010"
10/12/2022 5:41:03 PM,"687","79.7","37","1009"
10/12/2022 5:42:03 PM,"703","79.8","37","1009"
10/12/2022 5:43:03 PM,"691","79.9","36","1010"
10/12/2022 5:44:03 PM,"686","79.9","36","1010"
10/12/2022 5:45:03 PM,"673","79.9","36","1008"
10/12/2022 5:46:03 PM,"672","79.9","36","1012"
10/12/2022 5:47:03 PM,"643","80.0","36","1017"
10/12/2022 5:48:03 PM,"655","80.1","36","1017"
10/12/2022 5:49:03 PM,"655","80.1","36","1017"
10/12/2022 5:50:03 PM,"649","80.1","36","1017"
10/12/2022 5:51:03 PM,"642","80.2","36","1017"
10/12/2022 5:52:03 PM,"628","80.2","36","1017"
10/12/2022 5:53:03 PM,"653","80.3","36","1016"
10/12/2022 5:54:03 PM,"651","80.3","36","1015"
10/12/2022 5:55:03 PM,"648","80.3","35","1012"
10/12/2022 5:56:03 PM,"670","80.4","35","1011"
10/12/2022 5:57:03 PM,"665","80.4","35","1012"
10/12/2022 5:58:03 PM,"680","80.4","35","1015"
10/12/2022 5:59:03 PM,"670","80.4","35","1014"
10/12/2022 6:00:03 PM,"700","80.5","35","1015"
10/12/2022 6:01:03 PM,"686","80.5","35","1016"
10/12/2022 6:02:03 PM,"669","80.5","35","1016"
10/12/2022 6:03:03 PM,"651","80.5","35","1017"
10/12/2022 6:04:03 PM,"652","80.5","35","1017"
10/12/2022 6:05:03 PM,"675","80.6","35","1017"
10/12/2022 6:06:03 PM,"693","80.6","35","1016"
10/12/2022 6:07:03 PM,"681","80.7","35","1016"
10/12/2022 6:08:03 PM,"684","80.7","34","1015"
10/12/2022 6:09:03 PM,"695","80.8","34","1014"
10/12/2022 6:10:03 PM,"685","80.8","34","1014"
10/12/2022 6:11:03 PM,"692","80.9","34","1017"
10/12/2022 6:12:03 PM,"717","80.9","34","1017"
10/12/2022 6:13:03 PM,"716","80.9","34","1017"
10/12/2022 6:14:03 PM,"708","81.0","34","1017"
10/12/2022 6:15:03 PM,"723","81.0","34","1017"
10/12/2022 6:16:03 PM,"703","81.0","34","1017"
10/12/2022 6:17:03 PM,"701","81.0","34","1017"
10/12/2022 6:18:03 PM,"692","81.0","34","1017"
10/12/2022 6:19:03 PM,"695","81.0","34","1017"
10/12/2022 6:20:03 PM,"715","81.0","34","1017"
10/12/2022 6:21:03 PM,"701","81.0","34","1017"
10/12/2022 6:22:03 PM,"711","81.1","34","1017"
10/12/2022 6:23:03 PM,"688","81.0","34","1017"
10/12/2022 6:24:03 PM,"559","81.1","33","1017"
10/12/2022 6:25:03 PM,"466","81.0","32","1017"
10/12/2022 6:26:03 PM,"441","80.9","32","1017"
10/12/2022 6:27:03 PM,"472","80.8","32","1017"
10/12/2022 6:28:03 PM,"444","80.6","32","1017"
10/12/2022 6:29:03 PM,"434","80.4","31","1017"
10/12/2022 6:30:03 PM,"435","80.2","31","1017"
10/12/2022 6:31:03 PM,"468","80.2","32","1017"
10/12/2022 6:32:03 PM,"477","80.0","32","1018"
10/12/2022 6:33:03 PM,"492","79.9","33","1017"
10/12/2022 6:34:03 PM,"471","79.7","33","1017"
10/12/2022 6:35:03 PM,"500","79.6","33","1017"
10/12/2022 6:36:03 PM,"512","79.6","33","1017"
10/12/2022 6:37:03 PM,"522","79.5","34","1017"
10/12/2022 6:38:03 PM,"547","79.5","34","1017"
10/12/2022 6:39:03 PM,"552","79.4","34","1017"
10/12/2022 6:40:03 PM,"549","79.3","34","1017"
10/12/2022 6:41:03 PM,"551","79.3","34","1017"
10/12/2022 6:42:03 PM,"562","79.3","35","1017"
10/12/2022 6:43:03 PM,"572","79.2","35","1017"
10/12/2022 6:44:03 PM,"585","79.2","35","1017"
10/12/2022 6:45:03 PM,"578","79.2","35","1017"
10/12/2022 6:46:03 PM,"596","79.1","35","1017"
10/12/2022 6:47:03 PM,"599","79.1","35","1017"
10/12/2022 6:48:03 PM,"615","79.1","35","1017"
10/12/2022 6:49:03 PM,"645","79.0","36","1017"
10/12/2022 6:50:03 PM,"639","79.0","36","1017"
10/12/2022 6:51:03 PM,"756","78.9","36","1017"
10/12/2022 6:52:03 PM,"756","78.9","36","1017"
10/12/2022 6:53:03 PM,"728","78.8","36","1017"
10/12/2022 6:54:03 PM,"717","78.9","36","1017"
10/12/2022 6:55:03 PM,"708","78.8","36","1017"
10/12/2022 6:56:03 PM,"710","78.8","36","1017"
10/12/2022 6:57:03 PM,"715","78.8","37","1017"
10/12/2022 6:58:03 PM,"734","78.7","37","1017"
10/12/2022 6:59:03 PM,"746","78.7","37","1017"
10/12/2022 7:00:03 PM,"749","78.7","38","1017"
10/12/2022 7:01:03 PM,"749","78.6","38","1017"
10/12/2022 7:02:03 PM,"729","78.6","38","1017"
10/12/2022 7:03:03 PM,"766","78.5","38","1017"
10/12/2022 7:04:03 PM,"761","78.5","38","1017"
10/12/2022 7:05:03 PM,"771","78.5","38","1017"
10/12/2022 7:06:03 PM,"773","78.4","38","1017"
10/12/2022 7:07:03 PM,"779","78.4","39","1017"
10/12/2022 7:08:03 PM,"792","78.6","39","1017"
10/12/2022 7:09:03 PM,"759","78.6","39","1017"
10/12/2022 7:10:03 PM,"802","78.7","38","1017"
10/12/2022 7:11:03 PM,"785","78.8","38","1017"
10/12/2022 7:12:03 PM,"789","78.8","38","1017"
10/12/2022 7:13:03 PM,"794","78.9","38","1017"
10/12/2022 7:14:03 PM,"842","79.0","38","1017"
10/12/2022 7:15:03 PM,"891","79.0","38","1017"
10/12/2022 7:16:03 PM,"943","79.0","38","1017"
10/12/2022 7:17:03 PM,"949","79.1","38","1017"
10/12/2022 7:18:03 PM,"929","79.1","38","1017"
10/12/2022 7:19:03 PM,"949","79.1","38","1017"
10/12/2022 7:20:03 PM,"1029","79.2","39","1017"
10/12/2022 7:21:03 PM,"1026","79.3","39","1017"
10/12/2022 7:22:03 PM,"991","79.4","39","1017"
10/12/2022 7:23:03 PM,"1013","79.4","39","1017"
10/12/2022 7:24:03 PM,"994","79.5","39","1017"
10/12/2022 7:25:03 PM,"1015","79.5","39","1017"
10/12/2022 7:26:03 PM,"1018","79.6","39","1017"
10/12/2022 7:27:03 PM,"1030","79.6","40","1017"
10/12/2022 7:28:03 PM,"1020","79.5","40","1017"
10/12/2022 7:29:03 PM,"1058","79.5","40","1017"
10/12/2022 7:30:03 PM,"1053","79.6","40","1017"
10/12/2022 7:31:03 PM,"1030","79.5","40","1017"
10/12/2022 7:32:03 PM,"1044","79.6","40","1017"
10/12/2022 7:33:03 PM,"1069","79.5","40","1017"
10/12/2022 7:34:03 PM,"1059","79.5","40","1017"
10/12/2022 7:35:03 PM,"1056","79.4","40","1017"
10/12/2022 7:36:03 PM,"1054","79.4","40","1017"
10/12/2022 7:37:03 PM,"1043","79.4","40","1017"
