User-Defined Residential Building,
Inputs + Space Description,
,Co (ppm),HCeil (m),tmetric (h),Q (L/s person),Qalt (L/s person),Bfl (m²),
,420,2.4,2.0,5.1,10.0,84,

Scenario,Method,NOccH,Nbr,
Whole House,ACH,3,2,

Occupants,
,Nocc,Sex,Mass (kg),Age Group,Activity Level (met),
,1,M,68.0,30 to 59,1,
,1,F,63.5,30 to 59,1,
,1,M,18.1,3 to 9,1,

,tss (h),Css (ppm),Cm (ppm),C1h (ppm),
Primary Results,11.1,983,655,553,
Alternate Results,17.1,1285,676,559,

Plot Data,
,Time (h),C (ppm),Calt (ppm),
,0.00,420,420,
,0.02,423,423,
,0.03,425,425,
,0.05,428,428,
,0.07,430,430,
,0.08,433,433,
,0.10,435,435,
,0.12,437,438,
,0.13,440,440,
,0.15,442,442,
,0.17,445,445,
,0.18,447,447,
,0.20,450,450,
,0.22,452,452,
,0.23,454,455,
,0.25,457,457,
,0.27,459,460,
,0.28,461,462,
,0.30,464,464,
,0.32,466,467,
,0.33,468,469,
,0.35,471,472,
,0.37,473,474,
,0.38,475,476,
,0.40,478,479,
,0.42,480,481,
,0.43,482,483,
,0.45,484,486,
,0.47,487,488,
,0.48,489,490,
,0.50,491,493,
,0.52,493,495,
,0.53,495,497,
,0.55,498,500,
,0.57,500,502,
,0.58,502,504,
,0.60,504,507,
,0.62,506,509,
,0.63,508,511,
,0.65,511,513,
,0.67,513,516,
,0.68,515,518,
,0.70,517,520,
,0.72,519,522,
,0.73,521,525,
,0.75,523,527,
,0.77,525,529,
,0.78,527,531,
,0.80,529,533,
,0.82,531,536,
,0.83,533,538,
,0.85,535,540,
,0.87,537,542,
,0.88,539,544,
,0.90,541,546,
,0.92,543,549,
,0.93,545,551,
,0.95,547,553,
,0.97,549,555,
,0.98,551,557,
,1.00,553,559,
,1.02,555,561,
,1.03,557,564,
,1.05,559,566,
,1.07,561,568,
,1.08,563,570,
,1.10,565,572,
,1.12,566,574,
,1.13,568,576,
,1.15,570,578,
,1.17,572,580,
,1.18,574,582,
,1.20,576,584,
,1.22,578,586,
,1.23,579,588,
